id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
paypal-usd,1.0,764086540,0.05987,1.001,0.998607,1.021,0.959426,06-03-2025 17-03-26
msol,193.16,744657940,2.34506,194.23,179.35,363.77,8.93,06-03-2025 17-03-26
berachain-bera,6.89,743456275,1.32443,7.17,6.48,14.83,4.79,06-03-2025 17-03-26
bittorrent,7.49448e-07,739883044,5.04084,7.59302e-07,7.0683e-07,3.43e-06,3.65368e-07,06-03-2025 17-03-26
wbnb,602.52,738745067,0.32514,610.57,588.51,789.32,23.6,06-03-2025 17-03-26
arbitrum-bridged-wbtc-arbitrum-one,91173.0,736348914,2.35683,92491.0,87633.0,108397.0,49594.0,06-03-2025 17-03-26
bitcoin-cash-sv,36.96,734343608,2.29548,39.16,35.93,489.75,21.43,06-03-2025 17-03-26
renzo-restaked-eth,2385.49,732099520,3.39326,2399.37,2249.7,4207.05,2100.1,06-03-2025 17-03-26
floki,7.572e-05,731935350,1.46543,7.665e-05,7.249e-05,0.00034495,8.428e-08,06-03-2025 17-03-26
ethereum-name-service,21.81,723429411,3.85646,22.03,20.44,83.4,6.69,06-03-2025 17-03-26
tether-gold,2896.47,713981515,-0.3489,2917.0,2889.21,2958.51,1447.84,06-03-2025 17-03-26
flow,0.450953,707105577,0.64401,0.464297,0.437978,42.4,0.391969,06-03-2025 17-03-26
kaia,0.120314,704842352,1.00022,0.121323,0.115539,0.406698,0.108941,06-03-2025 17-03-26
binance-bridged-usdc-bnb-smart-chain,0.999207,698750721,-0.00476,1.004,0.995809,1.031,0.942892,06-03-2025 17-03-26
pyth-network,0.190112,689343604,3.52933,0.191417,0.176921,1.2,0.164347,06-03-2025 17-03-26
raydium,2.26,656545387,2.07608,2.29,2.12,16.83,0.134391,06-03-2025 17-03-26
neo,9.29,655082696,3.55721,9.36,8.86,198.38,0.078349,06-03-2025 17-03-26
jupiter-staked-sol,165.73,634744008,2.66473,166.44,153.5,309.67,114.32,06-03-2025 17-03-26
usdx-money-usdx,0.999531,625004930,0.01444,1.001,0.997719,1.057,0.944423,06-03-2025 17-03-26
blackrock-usd-institutional-digital-liquidity-fund,1.0,624619333,0.0,1.0,1.0,1.0,1.0,06-03-2025 17-03-26
helium,3.48,621608374,9.26655,3.56,3.04,54.88,0.113248,06-03-2025 17-03-26
pax-gold,2918.61,611502238,-0.16561,2937.66,2907.35,3000.76,1399.64,06-03-2025 17-03-26
elrond-erd-2,21.61,604876927,-0.97408,22.39,20.98,545.64,6.51,06-03-2025 17-03-26
dogwifcoin,0.59833,597611270,1.84323,0.598501,0.558022,4.83,0.00155464,06-03-2025 17-03-26
ronin,0.96249,595544073,4.56122,0.969744,0.91151,4.45,0.196601,06-03-2025 17-03-26
axie-infinity,3.65,580887471,4.47,3.7,3.42,164.9,0.123718,06-03-2025 17-03-26
curve-dao-token,0.444381,573927190,1.11176,0.450417,0.425581,15.37,0.180354,06-03-2025 17-03-26
zcash,35.99,573468428,-1.58722,37.61,35.82,3191.93,16.08,06-03-2025 17-03-26
grass,2.3,561357833,-3.67239,2.56,2.28,3.89,0.654959,06-03-2025 17-03-26
virtual-protocol,0.847792,550414727,-6.53032,0.910458,0.832777,5.07,0.00748604,06-03-2025 17-03-26
decentraland,0.293559,548581147,2.78273,0.297653,0.281693,5.85,0.00923681,06-03-2025 17-03-26
binance-peg-dogecoin,0.210502,539562333,3.27716,0.218943,0.198417,0.480585,0.04955727,06-03-2025 17-03-26
resolv-usr,0.999827,537990787,-0.04295,1.002,0.997663,1.022,0.959194,06-03-2025 17-03-26
pumpbtc,89595.0,536606640,0.49972,91290.0,86237.0,107240.0,48890.0,06-03-2025 17-03-26
starknet,0.194365,533611233,6.85965,0.194691,0.17873,4.41,0.165487,06-03-2025 17-03-26
mantle-restaked-eth,2431.97,529136105,3.13661,2452.85,2295.36,4298.87,2103.43,06-03-2025 17-03-26
